Date,Open,High,Low,Close,Volume
201509012040,0.702410,0.702490,0.702340,0.702400,0
201509012041,0.702400,0.702570,0.702340,0.702570,0
201509012042,0.702550,0.702600,0.702490,0.702560,0
201509012043,0.702530,0.702550,0.702490,0.702550,0
201509012044,0.702540,0.702560,0.702310,0.702310,0
201509012045,0.702320,0.702330,0.702020,0.702020,0
201509012046,0.702010,0.702120,0.701760,0.701760,0
201509012047,0.701780,0.701900,0.701750,0.701790,0
201509012048,0.701780,0.702070,0.701780,0.702040,0
201509012049,0.702020,0.702170,0.701990,0.702170,0
201509012050,0.702180,0.702300,0.702180,0.702250,0
201509012051,0.702250,0.702250,0.702000,0.702000,0
201509012052,0.702000,0.702350,0.701970,0.702350,0
201509012053,0.702350,0.702550,0.702350,0.702450,0
201509012054,0.702450,0.702500,0.702330,0.702430,0
201509012055,0.702390,0.702470,0.702320,0.702400,0
201509012056,0.702400,0.702700,0.702350,0.702700,0
201509012057,0.702700,0.702800,0.702600,0.702800,0
201509012058,0.702790,0.703100,0.702790,0.703100,0
201509012059,0.703100,0.703100,0.702750,0.702800,0
201509012100,0.702750,0.702950,0.702530,0.702700,0
201509012101,0.702700,0.702780,0.702640,0.702740,0
201509012102,0.702750,0.702810,0.702600,0.702740,0
201509012103,0.702760,0.702770,0.702550,0.702660,0
201509012104,0.702630,0.702840,0.702550,0.702810,0
201509012105,0.702790,0.702990,0.702710,0.702960,0
201509012106,0.702960,0.703240,0.702850,0.703010,0
201509012107,0.703000,0.703000,0.702810,0.702850,0
201509012108,0.702830,0.702940,0.702780,0.702830,0
201509012109,0.702840,0.702860,0.702740,0.702860,0
201509012110,0.702860,0.702930,0.702820,0.702820,0
201509012111,0.702820,0.702820,0.702500,0.702560,0
201509012112,0.702570,0.702720,0.702570,0.702630,0
201509012113,0.702610,0.702650,0.702600,0.702610,0
201509012114,0.702620,0.702620,0.702240,0.702320,0
201509012115,0.702340,0.702480,0.702210,0.702470,0
201509012116,0.702480,0.702870,0.702480,0.702840,0
201509012117,0.702830,0.702880,0.702710,0.702710,0
201509012118,0.702710,0.702730,0.702650,0.702650,0
201509012119,0.702640,0.702640,0.702210,0.702330,0
201509012120,0.702360,0.702520,0.702330,0.702370,0
201509012121,0.702380,0.702610,0.702260,0.702540,0
201509012122,0.702570,0.702840,0.702430,0.702840,0
201509012123,0.702830,0.702950,0.702780,0.702810,0
201509012124,0.702730,0.703150,0.702630,0.703150,0
201509012125,0.703200,0.703440,0.702990,0.703440,0
201509012126,0.703430,0.703430,0.703030,0.703060,0
201509012127,0.703050,0.703060,0.702530,0.702600,0
201509012128,0.702590,0.702590,0.702020,0.702360,0
201509012129,0.702360,0.702970,0.702280,0.702490,0
201509012130,0.698960,0.701770,0.698840,0.701620,0
201509012131,0.701620,0.701620,0.700430,0.701250,0
201509012132,0.701250,0.701250,0.700790,0.700900,0
201509012133,0.700890,0.701040,0.700200,0.700200,0
201509012134,0.700170,0.700530,0.700140,0.700490,0
201509012135,0.700550,0.700620,0.700100,0.700100,0
201509012136,0.700090,0.700370,0.699600,0.699630,0
201509012137,0.699650,0.699830,0.699230,0.699280,0
201509012138,0.699300,0.699390,0.698950,0.699000,0
201509012139,0.698980,0.699350,0.698920,0.699010,0
201509012140,0.699050,0.699100,0.698200,0.698910,0
201509012141,0.698860,0.699350,0.698420,0.699310,0
201509012142,0.699350,0.699970,0.699250,0.699650,0
201509012143,0.699660,0.700200,0.699610,0.700200,0
201509012144,0.700250,0.700580,0.700100,0.700180,0
201509012145,0.700170,0.700550,0.700170,0.700550,0
201509012146,0.700510,0.700530,0.700010,0.700010,0
201509012147,0.700040,0.700400,0.700030,0.700320,0
201509012148,0.700410,0.700750,0.700410,0.700700,0
201509012149,0.700700,0.700950,0.700640,0.700680,0
201509012150,0.700690,0.701000,0.700690,0.700850,0
201509012151,0.700880,0.701450,0.700880,0.701250,0
201509012152,0.701250,0.701300,0.701100,0.701250,0
201509012153,0.701200,0.701800,0.701200,0.701570,0
201509012154,0.701560,0.701640,0.701510,0.701510,0
201509012155,0.701500,0.701540,0.701490,0.701540,0
201509012156,0.701520,0.701600,0.700990,0.701100,0
201509012157,0.701090,0.701800,0.701080,0.701750,0
201509012158,0.701750,0.702650,0.701750,0.702100,0
201509012159,0.702100,0.702250,0.701800,0.701820,0
201509012200,0.701850,0.702000,0.701800,0.702000,0
201509012201,0.701960,0.701960,0.701630,0.701810,0
201509012202,0.701790,0.701810,0.701620,0.701640,0
201509012203,0.701650,0.701650,0.701510,0.701560,0
201509012204,0.701560,0.701660,0.701340,0.701520,0
201509012205,0.701540,0.701540,0.701500,0.701520,0
201509012206,0.701510,0.701510,0.701020,0.701130,0
201509012207,0.701120,0.701140,0.700980,0.700980,0
201509012208,0.700990,0.701030,0.700320,0.700340,0
201509012209,0.700410,0.700660,0.700340,0.700640,0
201509012210,0.700630,0.700820,0.700470,0.700750,0
201509012211,0.700750,0.700760,0.700490,0.700540,0
201509012212,0.700530,0.700830,0.700530,0.700830,0
201509012213,0.700850,0.700850,0.700800,0.700850,0
201509012214,0.700840,0.701360,0.700800,0.701250,0
201509012215,0.701250,0.701250,0.700990,0.701110,0
201509012216,0.701120,0.701850,0.701120,0.701680,0
201509012217,0.701660,0.701900,0.701650,0.701800,0
201509012218,0.701800,0.701900,0.701600,0.701600,0
201509012219,0.701600,0.701600,0.701320,0.701510,0
201509012220,0.701500,0.701500,0.701410,0.701430,0
201509012221,0.701430,0.701460,0.701370,0.701420,0
201509012222,0.701420,0.702000,0.701420,0.702000,0
201509012223,0.702010,0.702300,0.702000,0.702250,0
201509012224,0.702250,0.702450,0.701900,0.702000,0
201509012225,0.702000,0.702100,0.701920,0.701920,0
201509012226,0.701900,0.701900,0.701490,0.701490,0
201509012227,0.701490,0.701650,0.701410,0.701600,0
201509012228,0.701600,0.701600,0.701460,0.701530,0
201509012229,0.701520,0.701550,0.701490,0.701530,0
201509012230,0.701560,0.701910,0.701560,0.701890,0
201509012231,0.701910,0.702090,0.701830,0.702040,0
201509012232,0.702060,0.702120,0.701910,0.701930,0
201509012233,0.701940,0.702000,0.701900,0.701900,0
201509012234,0.701910,0.702150,0.701910,0.702130,0
201509012235,0.702150,0.702200,0.701910,0.701990,0
201509012236,0.701980,0.701980,0.701610,0.701720,0
201509012237,0.701710,0.701710,0.701610,0.701610,0
201509012238,0.701580,0.701600,0.701540,0.701550,0
201509012239,0.701560,0.701610,0.701440,0.701440,0
201509012240,0.701440,0.701560,0.701390,0.701430,0
201509012241,0.701440,0.701440,0.701430,0.701430,0
201509012242,0.701430,0.701430,0.701290,0.701330,0
201509012243,0.701320,0.701430,0.701300,0.701400,0
201509012244,0.701390,0.701530,0.701330,0.701520,0
201509012245,0.701530,0.701590,0.701500,0.701560,0
201509012246,0.701550,0.701550,0.701310,0.701500,0
201509012247,0.701500,0.701520,0.701380,0.701480,0
201509012248,0.701520,0.701540,0.701340,0.701410,0
201509012249,0.701410,0.701440,0.701250,0.701270,0
201509012250,0.701300,0.701430,0.701100,0.701100,0
201509012251,0.701100,0.701150,0.701040,0.701070,0
201509012252,0.701090,0.701150,0.700930,0.700930,0
201509012253,0.700930,0.701160,0.700930,0.701140,0
201509012254,0.701130,0.701160,0.700300,0.700480,0
201509012255,0.700500,0.701010,0.700500,0.700980,0
201509012256,0.700990,0.701060,0.700750,0.700910,0
201509012257,0.700890,0.700890,0.700600,0.700860,0
201509012258,0.700850,0.700860,0.700730,0.700830,0
201509012259,0.700820,0.700940,0.700820,0.700930,0
201509012300,0.700920,0.700950,0.700910,0.700950,0
201509012301,0.700950,0.701180,0.700950,0.701180,0
201509012302,0.701170,0.701180,0.701160,0.701180,0
201509012303,0.701180,0.701330,0.701170,0.701330,0
201509012304,0.701330,0.701630,0.701290,0.701620,0
201509012305,0.701640,0.701640,0.701370,0.701390,0
201509012306,0.701390,0.701470,0.701380,0.701440,0
201509012307,0.701450,0.701790,0.701440,0.701780,0
201509012308,0.701830,0.702300,0.701830,0.702300,0
201509012309,0.702300,0.702490,0.702140,0.702400,0
201509012310,0.702340,0.702670,0.702340,0.702410,0
201509012311,0.702400,0.702400,0.702060,0.702120,0
201509012312,0.702140,0.702190,0.702140,0.702170,0
201509012313,0.702160,0.702170,0.702120,0.702140,0
201509012314,0.702150,0.702230,0.702060,0.702140,0
201509012315,0.702140,0.702170,0.702070,0.702100,0
201509012316,0.702150,0.702360,0.702130,0.702360,0
201509012317,0.702370,0.702610,0.702370,0.702430,0
201509012318,0.702410,0.702420,0.702240,0.702320,0
201509012319,0.702330,0.702330,0.702140,0.702140,0
201509012320,0.702170,0.702170,0.701900,0.702130,0
201509012321,0.702140,0.702250,0.702100,0.702230,0
201509012322,0.702230,0.702290,0.702160,0.702200,0
201509012323,0.702200,0.702200,0.702030,0.702030,0
201509012324,0.702040,0.702230,0.702030,0.702210,0
201509012325,0.702210,0.702410,0.702170,0.702240,0
201509012326,0.702230,0.702240,0.702120,0.702210,0
201509012327,0.702220,0.702250,0.702110,0.702240,0
201509012328,0.702240,0.702330,0.702240,0.702250,0
201509012329,0.702250,0.702350,0.702250,0.702340,0
201509012330,0.702320,0.702700,0.702320,0.702650,0
201509012331,0.702650,0.702650,0.702500,0.702570,0
201509012332,0.702550,0.702650,0.702550,0.702650,0
201509012333,0.702600,0.702650,0.702500,0.702500,0
201509012334,0.702550,0.702650,0.702500,0.702500,0
201509012335,0.702500,0.702700,0.702470,0.702700,0
201509012336,0.702700,0.702700,0.702560,0.702670,0
201509012337,0.702660,0.702900,0.702620,0.702900,0
201509012338,0.702950,0.703190,0.702950,0.703100,0
201509012339,0.703100,0.703100,0.702770,0.702810,0
201509012340,0.702810,0.702940,0.702770,0.702880,0
201509012341,0.702850,0.702850,0.702640,0.702750,0
201509012342,0.702740,0.702740,0.702530,0.702700,0
201509012343,0.702680,0.702740,0.702620,0.702670,0
201509012344,0.702660,0.702920,0.702520,0.702910,0
201509012345,0.702920,0.703040,0.702750,0.703040,0
201509012346,0.703050,0.703200,0.702960,0.703200,0
201509012347,0.703200,0.703300,0.702950,0.702970,0
201509012348,0.702970,0.703100,0.702930,0.703080,0
201509012349,0.703080,0.703080,0.702990,0.703040,0
201509012350,0.703060,0.703060,0.702950,0.702950,0
201509012351,0.702960,0.702960,0.702850,0.702850,0
